user_id,investment_type,asset_name,amount_invested,current_value,returns_percentage,purchase_date,platform
USER0001,Mutual Funds,Mutual Funds Portfolio,149939,144550.45,-3.59,2025-09-23,Bank
USER0001,Fixed Deposits,Fixed Deposits Portfolio,411832,438936.47,6.58,2025-04-01,Bank
USER0001,Real Estate,Real Estate Portfolio,1723142,1851507.46,7.45,2025-01-09,Stock Broker
USER0001,Stocks,Stocks Portfolio,70779,80908.56,14.31,2023-08-02,Mutual Fund House
USER0002,Stocks,Stocks Portfolio,46755,58236.01,24.56,2025-04-22,Mutual Fund House
USER0002,Fixed Deposits,Fixed Deposits Portfolio,600811,669702.93,11.47,2023-04-04,Bank
USER0003,Fixed Deposits,Fixed Deposits Portfolio,499986,590293.22,18.06,2025-12-13,Direct
USER0003,Bonds,Bonds Portfolio,149622,156331.69,4.48,2023-12-04,Direct
USER0003,Gold,Gold Portfolio,92099,110599.83,20.09,2025-07-02,Bank
USER0003,Stocks,Stocks Portfolio,475341,577127.34,21.41,2024-01-09,Stock Broker
USER0004,Gold,Gold Portfolio,11928,13042.89,9.35,2023-11-29,Bank
USER0004,Bonds,Bonds Portfolio,127568,129004.42,1.13,2024-08-06,Mutual Fund House
USER0004,Real Estate,Real Estate Portfolio,2936506,2858992.8,-2.64,2024-08-16,Mutual Fund House
USER0004,Stocks,Stocks Portfolio,476584,547701.35,14.92,2025-11-10,Direct
USER0005,Gold,Gold Portfolio,191231,184278.29,-3.64,2024-10-06,Mutual Fund House
USER0006,Gold,Gold Portfolio,65772,75453.0,14.72,2023-12-12,Direct
USER0007,Fixed Deposits,Fixed Deposits Portfolio,876577,862752.45,-1.58,2023-09-07,Direct
USER0007,Stocks,Stocks Portfolio,244259,300213.15,22.91,2023-05-27,Stock Broker
USER0007,Gold,Gold Portfolio,41280,39677.02,-3.88,2024-06-26,Bank
USER0007,Bonds,Bonds Portfolio,201281,233662.51,16.09,2025-01-30,Mutual Fund House
USER0008,Stocks,Stocks Portfolio,171376,165066.48,-3.68,2023-05-19,Mutual Fund House
USER0008,Gold,Gold Portfolio,118112,138216.71,17.02,2025-10-26,Direct
USER0008,Bonds,Bonds Portfolio,190871,186082.94,-2.51,2023-04-27,Stock Broker
USER0009,Real Estate,Real Estate Portfolio,3157420,3258849.34,3.21,2024-07-06,Stock Broker
USER0009,Bonds,Bonds Portfolio,125124,124517.07,-0.49,2024-10-03,Direct
USER0009,Fixed Deposits,Fixed Deposits Portfolio,214155,198358.29,-7.38,2023-04-03,Bank
USER0010,Stocks,Stocks Portfolio,55784,69303.74,24.24,2024-06-01,Mutual Fund House
USER0010,Gold,Gold Portfolio,62006,72508.31,16.94,2025-06-07,Mutual Fund House
USER0011,Stocks,Stocks Portfolio,389101,366170.92,-5.89,2024-08-22,Mutual Fund House
USER0011,Real Estate,Real Estate Portfolio,2830728,2893259.45,2.21,2024-10-06,Bank
USER0011,Mutual Funds,Mutual Funds Portfolio,49012,53009.74,8.16,2024-08-11,Bank
USER0012,Gold,Gold Portfolio,83201,95569.08,14.87,2025-11-24,Mutual Fund House
USER0012,Stocks,Stocks Portfolio,287245,282512.31,-1.65,2024-08-07,Stock Broker
USER0013,Fixed Deposits,Fixed Deposits Portfolio,251033,255212.87,1.67,2025-05-05,Direct
USER0013,Bonds,Bonds Portfolio,18304,22143.02,20.97,2023-11-04,Mutual Fund House
USER0013,Stocks,Stocks Portfolio,206398,255427.51,23.75,2025-04-01,Direct
USER0014,Mutual Funds,Mutual Funds Portfolio,42722,43368.46,1.51,2025-04-15,Stock Broker
USER0014,Fixed Deposits,Fixed Deposits Portfolio,321973,374062.08,16.18,2025-08-22,Direct
USER0014,Real Estate,Real Estate Portfolio,3533529,3606316.02,2.06,2025-01-04,Stock Broker
USER0015,Stocks,Stocks Portfolio,466264,531400.85,13.97,2024-04-07,Mutual Fund House
USER0015,Gold,Gold Portfolio,46323,43457.42,-6.19,2025-02-04,Bank
USER0015,Real Estate,Real Estate Portfolio,2043513,2380071.36,16.47,2025-01-30,Stock Broker
USER0016,Fixed Deposits,Fixed Deposits Portfolio,557948,534967.22,-4.12,2024-06-13,Stock Broker
USER0017,Gold,Gold Portfolio,82160,89440.04,8.86,2024-01-07,Mutual Fund House
USER0017,Fixed Deposits,Fixed Deposits Portfolio,383357,428032.8,11.65,2025-01-07,Mutual Fund House
USER0017,Bonds,Bonds Portfolio,198939,193915.26,-2.53,2023-09-03,Direct
USER0017,Stocks,Stocks Portfolio,120574,115584.11,-4.14,2024-07-10,Stock Broker
USER0018,Gold,Gold Portfolio,40652,38244.74,-5.92,2023-08-13,Mutual Fund House
USER0019,Gold,Gold Portfolio,78437,93307.7,18.96,2024-05-30,Direct
USER0020,Real Estate,Real Estate Portfolio,4191734,3997872.91,-4.62,2023-03-04,Stock Broker
USER0021,Fixed Deposits,Fixed Deposits Portfolio,874282,825864.75,-5.54,2025-11-14,Direct
USER0021,Stocks,Stocks Portfolio,467257,511707.55,9.51,2025-08-05,Bank
USER0021,Bonds,Bonds Portfolio,229497,286799.99,24.97,2024-07-26,Mutual Fund House
USER0022,Fixed Deposits,Fixed Deposits Portfolio,656019,674543.59,2.82,2024-06-18,Bank
USER0022,Stocks,Stocks Portfolio,231765,214272.21,-7.55,2025-05-26,Bank
USER0022,Bonds,Bonds Portfolio,181740,216221.47,18.97,2025-03-27,Bank
USER0022,Mutual Funds,Mutual Funds Portfolio,299442,366946.5,22.54,2025-06-14,Stock Broker
USER0023,Stocks,Stocks Portfolio,76758,79046.0,2.98,2025-08-27,Mutual Fund House
USER0024,Fixed Deposits,Fixed Deposits Portfolio,679739,812283.28,19.5,2023-06-10,Mutual Fund House
USER0024,Stocks,Stocks Portfolio,334472,381725.54,14.13,2024-09-10,Stock Broker
USER0025,Bonds,Bonds Portfolio,276752,263546.78,-4.77,2023-10-25,Mutual Fund House
USER0025,Mutual Funds,Mutual Funds Portfolio,386765,411935.92,6.51,2024-11-17,Stock Broker
USER0025,Real Estate,Real Estate Portfolio,1252242,1264200.12,0.95,2023-06-01,Stock Broker
