user_id,month,year,age,city,marital_status,dependents,monthly_income,bonus,expense_rent,expense_food,expense_transport,expense_utilities,expense_education,expense_healthcare,expense_entertainment,expense_shopping,expense_other,total_expenses,net_savings,savings_rate
USER0001,1,2025,22,Chittagong,Divorced,1,27561.91,0.0,8034.31,5912.37,2814.54,1999.68,2411.32,735.5,872.81,805.47,543.57,24129.57,3432.34,12.45
USER0001,2,2025,22,Chittagong,Divorced,1,28765.24,0.0,7443.03,4855.74,2090.24,2169.37,797.86,1678.43,1204.63,1623.35,959.05,22821.7,5943.54,20.66
USER0001,3,2025,22,Chittagong,Divorced,1,28746.49,0.0,6430.31,7397.94,2299.38,1931.05,2907.16,1587.26,2725.85,1350.77,655.47,27285.19,1461.3,5.08
USER0001,4,2025,22,Chittagong,Divorced,1,27896.29,0.0,5905.84,5725.48,3119.42,1055.29,1040.47,1041.04,2336.47,825.16,771.32,21820.5,6075.78,21.78
USER0001,5,2025,22,Chittagong,Divorced,1,27870.26,0.0,8290.59,6805.65,1975.96,846.33,1580.0,1403.43,1175.11,1149.33,629.63,23856.03,4014.23,14.4
USER0001,6,2025,22,Chittagong,Divorced,1,28877.22,0.0,8503.07,7407.29,2764.84,967.8,772.39,625.03,1952.62,588.77,1428.34,25010.16,3867.05,13.39
USER0001,7,2025,22,Chittagong,Divorced,1,27469.77,0.0,5731.74,5908.11,2441.81,1712.85,663.19,641.82,2457.88,1373.98,502.77,21434.15,6035.62,21.97
USER0001,8,2025,22,Chittagong,Divorced,1,27569.55,0.0,8037.57,7526.95,3113.52,1946.42,2021.98,1585.1,1437.7,1229.61,1278.58,28177.43,-607.88,-2.2
USER0001,9,2025,22,Chittagong,Divorced,1,28145.55,0.0,5202.19,5168.5,1910.76,1378.93,1943.05,995.88,2264.76,1994.41,521.58,21380.07,6765.48,24.04
USER0001,10,2025,22,Chittagong,Divorced,1,29718.18,0.0,6841.55,6012.91,2010.87,1978.22,4240.67,709.77,2283.44,997.14,469.29,25543.86,4174.32,14.05
USER0001,11,2025,22,Chittagong,Divorced,1,28492.37,0.0,5315.16,5285.54,2695.26,1399.31,3622.96,1506.51,2755.58,681.64,914.67,24176.62,4315.75,15.15
USER0001,12,2025,22,Chittagong,Divorced,1,30028.61,28012.25,6973.34,5282.78,1963.21,1156.02,2161.29,822.34,1712.07,742.02,391.04,21204.1,36836.76,122.67
USER0001,13,2025,22,Chittagong,Divorced,1,28921.78,0.0,6287.86,5561.01,1636.8,1876.41,1307.79,1070.54,2420.7,592.03,477.21,21230.33,7691.45,26.59
USER0001,14,2025,22,Chittagong,Divorced,1,28814.72,0.0,8035.21,6075.83,2321.67,1011.39,3963.61,1790.38,1966.96,765.01,1361.86,27291.91,1522.82,5.28
USER0001,15,2025,22,Chittagong,Divorced,1,28858.42,0.0,8558.43,6230.56,2466.09,2185.16,4206.93,1028.82,1712.45,969.26,1203.15,28560.84,297.58,1.03
USER0001,16,2025,22,Chittagong,Divorced,1,28027.34,0.0,5417.44,5690.72,2682.67,2202.8,1997.43,908.22,2728.75,1104.7,708.67,23441.39,4585.95,16.36
USER0001,17,2025,22,Chittagong,Divorced,1,29543.83,0.0,7060.99,6244.73,2038.59,2050.61,892.18,1598.58,1174.41,1518.14,437.69,23015.93,6527.9,22.1
USER0001,18,2025,22,Chittagong,Divorced,1,29221.5,0.0,7122.33,5754.26,2555.19,1373.0,837.24,924.26,2827.76,1189.59,706.73,23290.35,5931.14,20.3
USER0001,19,2025,22,Chittagong,Divorced,1,27924.62,0.0,7760.3,6872.98,3115.86,2116.99,698.85,1106.67,1983.77,1400.21,1125.08,26180.71,1743.91,6.25
USER0001,20,2025,22,Chittagong,Divorced,1,27715.19,0.0,4910.88,5743.24,3196.63,1983.33,3042.28,732.03,1813.03,1024.19,872.32,23317.93,4397.26,15.87
USER0001,21,2025,22,Chittagong,Divorced,1,28983.97,0.0,5930.31,7601.33,2014.31,1103.09,3759.84,1111.19,2737.77,1596.89,1319.92,27174.64,1809.32,6.24
USER0001,22,2025,22,Chittagong,Divorced,1,28387.33,0.0,6739.97,6644.85,2569.99,2122.07,1726.49,773.32,1491.34,1872.06,1115.49,25055.57,3331.76,11.74
USER0001,23,2025,22,Chittagong,Divorced,1,29856.12,0.0,6185.74,7511.55,3317.04,1068.63,3956.24,819.35,1515.34,1899.28,1103.39,27376.56,2479.56,8.31
USER0001,24,2025,22,Chittagong,Divorced,1,29374.29,0.0,6525.43,5542.84,2097.55,2035.0,1368.59,1320.72,2345.78,2252.29,571.61,24059.82,5314.47,18.09
USER0002,1,2025,25,Khulna,Married,0,44248.69,0.0,9526.12,10172.06,4633.38,2136.31,0.0,1091.49,3072.28,1201.67,1253.62,33086.93,11161.76,25.23
USER0002,2,2025,25,Khulna,Married,0,44414.53,0.0,9710.2,9101.95,3542.34,3149.08,0.0,2318.83,3648.11,3308.02,2090.69,36869.21,7545.33,16.99
USER0002,3,2025,25,Khulna,Married,0,46329.69,0.0,10700.72,11153.25,4444.93,3056.01,0.0,1727.97,4134.19,1740.45,1234.13,38191.65,8138.04,17.57
USER0002,4,2025,25,Khulna,Married,0,44035.67,0.0,10462.3,10047.32,3096.84,3513.45,0.0,2442.59,1579.13,1397.95,564.33,33103.92,10931.76,24.82
USER0002,5,2025,25,Khulna,Married,0,43872.77,0.0,9002.77,7217.07,4199.55,3315.46,0.0,1296.3,2821.89,2557.76,497.05,30907.85,12964.92,29.55
USER0002,6,2025,25,Khulna,Married,0,45542.83,0.0,10976.0,7300.55,2797.09,2379.26,0.0,2066.3,4039.24,3169.55,1448.94,34176.94,11365.89,24.96
USER0002,7,2025,25,Khulna,Married,0,46250.82,0.0,9257.85,10407.82,3959.8,2637.96,0.0,1331.02,3775.68,1932.35,1854.4,35156.89,11093.94,23.99
USER0002,8,2025,25,Khulna,Married,0,44677.49,0.0,8253.98,10361.7,4337.41,2233.07,0.0,1173.63,3015.33,1442.18,2180.43,32997.73,11679.76,26.14
USER0002,9,2025,25,Khulna,Married,0,46753.94,0.0,9956.54,9576.1,2655.31,2052.0,0.0,2103.35,2912.2,3347.16,1476.85,34079.51,12674.43,27.11
USER0002,10,2025,25,Khulna,Married,0,43978.47,0.0,7569.05,10073.23,2737.92,3006.87,0.0,1746.13,2921.46,2386.44,505.36,30946.46,13032.01,29.63
